广西电信ITV,#genre#
大湾区卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225558/10000100000000060000000000081887_0.smil
陕西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225828/10000100000000060000000000081842_0_mdn_1.smil
河南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226554/10000100000000060000000004292456_0.smil
云南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225489/10000100000000060000000000081818_0.smil
新疆卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226571/553907937.smil
重庆卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225506/10000100000000060000000000081835_0.smil
海南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226529/10000100000000060000000003982433_0.smil
山西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225521/10000100000000060000000000081850_0.smil
青海卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225518/10000100000000060000000000081847_0.smil
内蒙古卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225520/10000100000000060000000000081849_0.smil
西藏卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226594/553907939.smil
吉林卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226089/10000100000000060000000002293644_0.smil
宁夏卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226587/555214185.smil
山东教育卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225817/10000100000000060000000000423563_0.smil
三沙卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225928/10000100000000060000000001428832_0.smil
厦门卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226052/10000100000000060000000001597136_0.smil
兵团卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226591/553907945.smil
金鹰纪实,rtsp://180.141.207.228/PLTV/88888888/224/3221225815/10000100000000060000000000421256_0.smil
CETV-1,rtsp://180.141.207.228/PLTV/88888888/224/3221225836/10000100000000060000000000421211_0.smil
CETV-2,rtsp://180.141.207.228/PLTV/88888888/224/3221225942/10000100000000060000000001442005_0.smil
CETV-4,rtsp://180.141.207.228/PLTV/88888888/224/3221226441/10000100000000060000000003086786_0.smil
金鹰卡通,rtsp://180.141.207.228/PLTV/88888888/224/3221226076/10000100000000060000000002343740_0.smil
BRTV卡酷少儿,rtsp://180.141.207.228/PLTV/88888888/224/3221225534/10000100000000060000000000081863_0.smil
嘉佳卡通,rtsp://180.141.207.228/PLTV/88888888/224/3221225612/10000100000000060000000000084015_0_mdn_5.smil
中国天气,rtsp://180.141.207.228/PLTV/88888888/224/3221225611/10000100000000060000000000132975_0_mdn_2.smil
北京纪实科教,rtsp://180.141.207.228/PLTV/88888888/224/3221226549/10000100000000060000000003726947_0.smil
CHC家庭影院,rtsp://180.141.207.228/PLTV/88888888/224/3221225934/10000100000000060000000001428835_0.smil
CHC动作电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225936/10000100000000060000000001428836_0.smil
CHC影迷电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225938/10000100000000060000000001428837_0.smil
新动漫,rtsp://180.141.207.228/PLTV/88888888/224/3221225932/10000100000000060000000001428834_0.smil
先锋乒羽,rtsp://180.141.207.228/PLTV/88888888/224/3221225922/10000100000000060000000001428756_0.smil
广西IPTV1,rtsp://180.141.207.228/PLTV/88888888/224/3221225562/10000100000000060000000000081891_0.smil
广西IPTV2,rtsp://180.141.207.228/PLTV/88888888/224/3221225824/10000100000000060000000000084022_0_mdn_1.smil
广西IPTV3,rtsp://180.141.207.228/PLTV/88888888/224/3221225597/10000100000000060000000000084028_0.smil
广西IPTV4,rtsp://180.141.207.228/PLTV/88888888/224/3221226597/561151273.smil
广西IPTV5,rtsp://180.141.207.228/PLTV/88888888/224/3221226574/561151117.smil
广西IPTV6,rtsp://180.141.207.228/PLTV/88888888/224/3221226590/561151113.smil
广西IPTV7,rtsp://180.141.207.228/PLTV/88888888/224/3221226600/561151269.smil
广西IPTV8,rtsp://180.141.207.228/PLTV/88888888/224/3221225820/10000100000000060000000000084025_0_mdn_1.smil
广西IPTV9,rtsp://180.141.207.228/PLTV/88888888/224/3221226066/10000100000000060000000001971028_0.smil
广西IPTV10,rtsp://180.141.207.228/PLTV/88888888/224/3221226071/10000100000000060000000001972802_0.smil
广西IPTV11,rtsp://180.141.207.228/PLTV/88888888/224/3221226103/10000100000000060000000002683239_0.smil
广西IPTV12,rtsp://180.141.207.228/PLTV/88888888/224/3221225598/10000100000000060000000000084029_0.smil
广西IPTV13,rtsp://180.141.207.228/PLTV/88888888/224/3221225599/10000100000000060000000000084030_0.smil
广西IPTV15,rtsp://180.141.207.228/PLTV/88888888/224/3221226068/10000100000000060000000001930698_0.smil
2022年江苏跨年演唱会-4K,rtsp://180.141.207.228/PLTV/88888888/224/3221226078/10000100000000060000000002343742_0.smil
广西IPTV17,rtsp://180.141.207.228/PLTV/88888888/224/3221226082/10000100000000060000000002343743_0.smil
广西IPTV18,rtsp://180.141.207.228/PLTV/88888888/224/3221226081/10000100000000060000000002343744_0.smil
爱综艺,rtsp://180.141.207.228/PLTV/88888888/224/3221225525/10000100000000060000000000081854_0.smil
爱电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225528/10000100000000060000000000081857_0.smil
爱大剧,rtsp://180.141.207.228/PLTV/88888888/224/3221225610/10000100000000060000000000134823_0_mdn_1.smil
IPTV谍战剧场,rtsp://180.141.207.228/PLTV/88888888/224/3221225543/10000100000000060000000000081872_0.smil
IPTV野外,rtsp://180.141.207.228/PLTV/88888888/224/3221225544/10000100000000060000000000081873_0.smil
经典电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225530/10000100000000060000000000081859_0.smil
少儿动画,rtsp://180.141.207.228/PLTV/88888888/224/3221225524/10000100000000060000000000081853_0.smil
爱体育,rtsp://180.141.207.228/PLTV/88888888/224/3221226086/10000100000000060000000002245676_0.smil
收视指南,rtsp://180.141.207.228/PLTV/88888888/224/3221225531/10000100000000060000000000081860_0.smil
IPTV法治,rtsp://180.141.207.228/PLTV/88888888/224/3221225545/10000100000000060000000000081874_0.smil
热播剧场,rtsp://180.141.207.228/PLTV/88888888/224/3221225529/10000100000000060000000000081858_0.smil
魅力时尚,rtsp://180.141.207.228/PLTV/88888888/224/3221225527/10000100000000060000000000081856_0.smil
IPTV相声小品,rtsp://180.141.207.228/PLTV/88888888/224/3221225546/10000100000000060000000000081875_0.smil
爱上4K,rtsp://180.141.207.228/PLTV/88888888/224/3221225902/10000100000000060000000001259795_0.smil
IPTV足球,rtsp://180.141.207.228/PLTV/88888888/224/3221225825/10000100000000060000000000792768_0.smil
广西IPTV40,rtsp://180.141.207.228/PLTV/88888888/224/3221226428/10000100000000060000000002864278_0.smil
广西IPTV41,rtsp://180.141.207.228/PLTV/88888888/224/3221226430/10000100000000060000000002864279_0.smil
广西IPTV42,rtsp://180.141.207.228/PLTV/88888888/224/3221226435/10000100000000060000000002864280_0.smil
广西IPTV43,rtsp://180.141.207.228/PLTV/88888888/224/3221226433/10000100000000060000000002864281_0.smil
广西IPTV44,rtsp://180.141.207.228/PLTV/88888888/224/3221226436/10000100000000060000000002864282_0.smil
广西IPTV45,rtsp://180.141.207.228/PLTV/88888888/224/3221226431/10000100000000060000000002864283_0.smil
广西IPTV46,rtsp://180.141.207.228/PLTV/88888888/224/3221226434/10000100000000060000000002864284_0.smil
广西IPTV47,rtsp://180.141.207.228/PLTV/88888888/224/3221226437/10000100000000060000000002864285_0.smil
广西IPTV48,rtsp://180.141.207.228/PLTV/88888888/224/3221226439/10000100000000060000000002864286_0.smil
广西IPTV49,rtsp://180.141.207.228/PLTV/88888888/224/3221226438/10000100000000060000000002864287_0.smil
北京卫视4K-25P,rtsp://180.141.207.228/PLTV/88888888/224/3221226562/10000100000000060000000004576345_0.smil
广西IPTV100,rtsp://180.141.207.228/PLTV/88888888/224/3221226444/10000100000000060000000003233818_0.smil
广西IPTV101,rtsp://180.141.207.228/PLTV/88888888/224/3221226517/10000100000000060000000003607302_0.smil
广西IPTV102,rtsp://180.141.207.228/PLTV/88888888/224/3221226526/10000100000000060000000003706297_0.smil
广西IPTV103,rtsp://180.141.207.228/PLTV/88888888/224/3221226530/10000100000000060000000003794207_0.smil
广西IPTV104,rtsp://180.141.207.228/PLTV/88888888/224/3221226542/10000100000000060000000004050258_0.smil
央广购物,rtsp://180.141.207.228/PLTV/88888888/224/3221226447/10000100000000060000000003410043_0.smil
优购物,rtsp://180.141.207.228/PLTV/88888888/224/3221226061/10000100000000060000000001876280_0.smil
家有购物,rtsp://180.141.207.228/PLTV/88888888/224/3221226588/10000100000000060000000004540671_0.smil
广西乐思购,rtsp://180.141.207.228/PLTV/88888888/224/3221225555/10000100000000060000000000081884_0.smil
